title,description,image_url,room_type,local_path
Gibson Island Haven,Inspiration for a large coastal backyard stone and rectangular natural pool fountain remodel in Baltimore,https://st.hzcdn.com/fimgs/9df1901c0bfed4d2_1219-w360-h360-b0-p0--.jpg,dining-room,images/pool/poolroom_00000.jpg
Beach Style Pool,Beach style backyard stone and rectangular pool photo in Miami,https://st.hzcdn.com/fimgs/c7119d4a04494d19_1166-w360-h360-b0-p0--.jpg,dining-room,images/pool/poolroom_00001.jpg
"258 Northeast 17th Street, Delray Beach, Florida","Pool Ideas Whether you want inspiration for planning a pool renovation or are building a designer pool from scratch, Houzz has 270,018 images from the best designers, decorators, and architects in the country, including Creative Environments and Boyce Design + Build. Look through pool pictures in different colors and styles and when you find a pool design that inspires you, save it to an Ideabook or contact the Pro who made it happen to see what kind of design ideas they have for your home. Explore the beautiful pool photo gallery and find out exactly why Houzz is the best experience for home renovation and design. Read More",https://st.hzcdn.com/fimgs/3821341208377cab_9638-w360-h360-b0-p0--.jpg,dining-room,images/pool/poolroom_00002.jpg
Stinson Beach Coastal Mediterranean Backyard Remodel,"Pool Ideas Whether you want inspiration for planning a pool renovation or are building a designer pool from scratch, Houzz has 270,018 images from the best designers, decorators, and architects in the country, including Creative Environments and Boyce Design + Build. Look through pool pictures in different colors and styles and when you find a pool design that inspires you, save it to an Ideabook or contact the Pro who made it happen to see what kind of design ideas they have for your home. Explore the beautiful pool photo gallery and find out exactly why Houzz is the best experience for home renovation and design. Read More",https://st.hzcdn.com/fimgs/171123bc07b20089_4922-w360-h360-b0-p0--.jpg,dining-room,images/pool/poolroom_00003.jpg
Alamo Hillside Modern Home and Pool,"Peter Koenig Landscape Designer, Gene Radding General Contracting, Creative Environments Swimming Pool Construction Example of a huge trendy backyard concrete paver and custom-shaped hot tub design in San Francisco",https://st.hzcdn.com/fimgs/6a41744c026fedda_0034-w360-h360-b0-p0--.jpg,dining-room,images/pool/poolroom_00004.jpg
desierto curvazon,Pool - mid-sized contemporary backyard tile and custom-shaped pool idea in Phoenix,https://st.hzcdn.com/fimgs/f0c1c1ec0cd58689_2397-w360-h360-b0-p0--.jpg,dining-room,images/pool/poolroom_00005.jpg
Pool Glass Fences and Decks,"Pool Ideas Whether you want inspiration for planning a pool renovation or are building a designer pool from scratch, Houzz has 270,018 images from the best designers, decorators, and architects in the country, including Creative Environments and Boyce Design + Build. Look through pool pictures in different colors and styles and when you find a pool design that inspires you, save it to an Ideabook or contact the Pro who made it happen to see what kind of design ideas they have for your home. Explore the beautiful pool photo gallery and find out exactly why Houzz is the best experience for home renovation and design. Read More",https://st.hzcdn.com/fimgs/d031cd170447cd6c_1686-w360-h360-b0-p0--.jpg,dining-room,images/pool/poolroom_00006.jpg
Cotswold Pool Cabana,"Pool Ideas Whether you want inspiration for planning a pool renovation or are building a designer pool from scratch, Houzz has 270,018 images from the best designers, decorators, and architects in the country, including Creative Environments and Boyce Design + Build. Look through pool pictures in different colors and styles and when you find a pool design that inspires you, save it to an Ideabook or contact the Pro who made it happen to see what kind of design ideas they have for your home. Explore the beautiful pool photo gallery and find out exactly why Houzz is the best experience for home renovation and design. Read More",https://st.hzcdn.com/fimgs/97f1cce307852c78_8805-w360-h360-b0-p0--.jpg,dining-room,images/pool/poolroom_00007.jpg
Pool & Barn,Example of a large cottage backyard stone and custom-shaped pool design in Nashville,https://st.hzcdn.com/fimgs/d7f115030153cb90_1094-w360-h360-b0-p0--.jpg,dining-room,images/pool/poolroom_00008.jpg
Waterfront I,"Pool Ideas Whether you want inspiration for planning a pool renovation or are building a designer pool from scratch, Houzz has 270,018 images from the best designers, decorators, and architects in the country, including Creative Environments and Boyce Design + Build. Look through pool pictures in different colors and styles and when you find a pool design that inspires you, save it to an Ideabook or contact the Pro who made it happen to see what kind of design ideas they have for your home. Explore the beautiful pool photo gallery and find out exactly why Houzz is the best experience for home renovation and design. Read More",https://st.hzcdn.com/fimgs/5ee11cea05302217_5539-w360-h360-b0-p0--.jpg,dining-room,images/pool/poolroom_00009.jpg
Palisades Traditional,Burdge Architects Palisades Traditional Home Example of a mid-sized beach style backyard concrete paver and rectangular lap pool design in Los Angeles,https://st.hzcdn.com/fimgs/25a148020ebb2e44_1280-w360-h360-b0-p0--.jpg,dining-room,images/pool/poolroom_00010.jpg
Luxury Pool with Modern Cabana,"This stunning pool has an Antigua Pebble finish, tanning ledge and 5 bar seats. The L-shaped, open-air cabana houses an outdoor living room with a custom fire table, a large kitchen with stainless steel appliances including a sink, refrigerator, wine cooler and grill, a spacious dining and bar area with leathered granite counter tops and a spa like bathroom with an outdoor shower making it perfect for entertaining both small family cookouts and large parties.",https://st.hzcdn.com/fimgs/f27131a509fa132d_7313-w360-h360-b0-p0--.jpg,dining-room,images/pool/poolroom_00011.jpg
E Jenan Dr Residence - full remodel and backyard renovation 2/1/25,E Jenan Dr Residence - full remodel and backyard renovation 2/1/25,https://st.hzcdn.com/fimgs/3de1ac5207fb180e_0528-w360-h360-b0-p0--.jpg,dining-room,images/pool/poolroom_00012.jpg
A Henrico Hideaway,Inspiration for a large transitional backyard concrete paver and rectangular pool landscaping remodel in Richmond,https://st.hzcdn.com/fimgs/204138840877f39e_1617-w360-h360-b0-p0--.jpg,dining-room,images/pool/poolroom_00013.jpg
